Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu04110:Cell cycle	19	3.064516129032258	4.8833608929314654E-8	CDK1, CDC6, MAD1L1, PKMYT1, CDC20, CHEK1, MCM2, ZBTB17, CDC25C, CDC25B, CCNB1, CDC45, CDKN1A, MCM7, CCNB2, PLK1, CDKN2C, BUB1, CCNA2	177	128	5738	4.8120586158192085	6.739015490198064E-6	6.739015490198064E-6	5.7473348935577206E-5
KEGG_PATHWAY	mmu04114:Oocyte meiosis	13	2.0967741935483875	1.8727440827455584E-4	PPP2R1B, CDK1, SGOL1, PKMYT1, IGF1, CDC20, CDC25C, CCNB1, CCNB2, PLK1, BUB1, FBXO5, CAMK2A	177	115	5738	3.6646524195529357	0.025515132461420675	0.012839999018102843	0.22018530667277103
KEGG_PATHWAY	mmu04914:Progesterone-mediated oocyte maturation	10	1.6129032258064515	0.0010846423913100514	CCNB1, CDK1, CCNB2, PLK1, BUB1, PKMYT1, IGF1, CDC25C, CCNA2, CDC25B	177	85	5738	3.8138916583582585	0.13908705060349713	0.04869507143691998	1.2691106289301035
KEGG_PATHWAY	mmu03440:Homologous recombination	6	0.967741935483871	0.0011959989678559657	XRCC3, EME1, RAD54B, RAD54L, TOP3B, RAD51	177	27	5738	7.204017576898933	0.15223061757489043	0.04044597400581118	1.3985681696520924
BIOCARTA	m_g2Pathway:Cell Cycle: G2/M Checkpoint	6	0.967741935483871	0.0023840494621689295	CDK1, CDKN1A, PLK1, CHEK1, CDC25C, BRCA1	52	23	1171	5.874581939799331	0.25973635184546984	0.25973635184546984	2.7263275349292515
KEGG_PATHWAY	mmu03030:DNA replication	6	0.967741935483871	0.0039451873553424995	PRIM1, MCM7, LIG1, POLA1, POLA2, MCM2	177	35	5738	5.557384987893462	0.42045538986191777	0.10336151754467104	4.5457988841733465
KEGG_PATHWAY	mmu04115:p53 signaling pathway	8	1.2903225806451613	0.004923807906850918	CCNB1, CDK1, CDKN1A, CCNB2, RRM2, IGF1, CHEK1, FAS	177	69	5738	3.7586178662081386	0.4939722810406725	0.10732017863978893	5.643736432261437
KEGG_PATHWAY	mmu00240:Pyrimidine metabolism	9	1.4516129032258065	0.008905430377662829	PRIM1, TYMS, POLR3H, CTPS, RRM2, RRM1, POLA1, POLA2, TK1	177	96	5738	3.0391949152542375	0.7090064742263363	0.16167599180890013	9.992706111004402
BIOCARTA	m_cdc25Pathway:cdc25 and chk1 Regulatory Pathway in response to DNA damage	3	0.4838709677419355	0.033950504615676114	CDK1, CHEK1, CDC25C	52	7	1171	9.651098901098901	0.9871198290601225	0.886509159224731	32.967874766917895
BIOCARTA	m_srcRPTPPathway:Activation of Src by Protein-tyrosine phosphatase alpha	3	0.4838709677419355	0.033950504615676114	CDK1, CDC25C, PRKCB	52	7	1171	9.651098901098901	0.9871198290601225	0.886509159224731	32.967874766917895
BIOCARTA	m_atmPathway:ATM Signaling Pathway	4	0.6451612903225806	0.04000810837939714	CDKN1A, CHEK1, BRCA1, RAD51	52	18	1171	5.004273504273504	0.9941694009963279	0.8200144146967896	37.67722154776355
BIOCARTA	m_hdacPathway:Control of skeletal myogenesis by HDAC & calcium/calmodulin-dependent kinase (CaMK)	4	0.6451612903225806	0.046080273716264615	MEF2A, IGF1, MAPK7, CAMK2A	52	19	1171	4.7408906882591095	0.9973788580156595	0.7737322612299603	42.092663196589605
BIOCARTA	m_ranMSpathway:Role of Ran in mitotic spindle regulation	3	0.4838709677419355	0.05504625522784715	KIF15, TPX2, RANGAP1	52	9	1171	7.506410256410256	0.9992025024554096	0.7599255896188208	48.09154582024189
BIOCARTA	m_ranbp2Pathway:Sumoylation by RanBP2 Regulates Transcriptional Repression	3	0.4838709677419355	0.06692610441050101	RANGAP1, ZBTB17, HDAC6	52	10	1171	6.755769230769231	0.9998380350770995	0.7665269116685164	55.165940291308736
BIOCARTA	m_rbPathway:RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage	3	0.4838709677419355	0.07956883796494987	CDK1, CHEK1, CDC25C	52	11	1171	6.141608391608393	0.9999709660901671	0.7751754948144919	61.71788992433576
KEGG_PATHWAY	mmu00670:One carbon pool by folate	3	0.4838709677419355	0.08474301075352131	MTHFD2, TYMS, DHFR	177	16	5738	6.078389830508475	0.9999950689267685	0.782921065352334	64.73112384303286
KEGG_PATHWAY	mmu05340:Primary immunodeficiency	4	0.6451612903225806	0.09698803905270297	DCLRE1C, UNG, RFXAP, ADA	177	36	5738	3.6020087884494667	0.9999992313946677	0.7907653001430318	69.9013547520261
