"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","FTP Path to Experiment","Library Name","Library Strategy","Library Source","Library Selection"
"SRX549980","GSM1396273: Population mRNA-seq_MGH31DGC; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617845","","100.56","1","3491354","174567700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549980","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549979","GSM1396272: Population mRNA-seq_MGH28DGC; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617844","","157.04","1","5385368","269268400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549979","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549978","GSM1396271: Population mRNA-seq_MGH26DGC; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617843","","104.77","1","3646570","182328500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549978","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549977","GSM1396270: Population mRNA-seq_MGH31GSC; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617842","","648.63","1","27553297","1377664850","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549977","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549976","GSM1396269: Population mRNA-seq_MGH28GSC; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617841","","115.28","1","3957998","197899900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549976","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549975","GSM1396268: Population mRNA-seq_MGH26GSC; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617840","","250.85","1","10506728","525336400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549975","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549974","GSM1396267: Population mRNA-seq_MGH31Tumor; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617839","","889.45","1","38523142","1926157100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549974","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549973","GSM1396266: Population mRNA-seq_MGH30Tumor; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617838","","262.01","1","11074598","553729900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549973","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549972","GSM1396265: Population mRNA-seq_MGH29Tumor; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617837","","101.55","1","4213529","210676450","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549972","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549971","GSM1396264: Population mRNA-seq_MGH28Tumor; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617836","","268.8","1","11411208","570560400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549971","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
